    40/299     4.57G   0.02846   0.04747  0.006477    0.0824        13       640    0.9763    0.9912     0.982    0.6705    0.0273   0.04092   0.00458
    41/299     4.57G    0.0284   0.04588  0.006336   0.08062        29       640    0.9694    0.9857    0.9776    0.7489    0.0221   0.03864  0.004966
    42/299     4.57G   0.02794    0.0468  0.006412   0.08115        37       640     0.969    0.9927    0.9817     0.793   0.01982   0.03737  0.004641
    43/299     4.57G   0.02788   0.04739  0.006327    0.0816        25       640    0.9745    0.9895    0.9815    0.7768   0.02003   0.03735  0.004623
    44/299     4.57G   0.02633   0.04606  0.005952   0.07834        27       640    0.9746    0.9891    0.9761    0.7638   0.02056   0.03766  0.004705
    45/299     4.57G   0.02621   0.04728  0.005791   0.07927        36       640    0.9718    0.9905    0.9783    0.7584    0.0209     0.038  0.004524
    46/299     4.57G   0.02556     0.046   0.00572   0.07727        68       640    0.9743     0.994    0.9782     0.783   0.01982   0.03732  0.004204
    47/299     4.57G   0.02643   0.04889  0.005816   0.08113        39       640     0.972    0.9908    0.9808    0.7471   0.02317   0.03924  0.004444
    48/299     4.57G    0.0275   0.04934  0.006053   0.08289        30       640    0.9752    0.9842    0.9776    0.7345   0.02264   0.03812  0.004497
    49/299     4.57G   0.02551   0.04658  0.005638   0.07773        77       640    0.9743    0.9887    0.9772    0.7416   0.02188   0.03786   0.00427
    50/299     4.57G   0.02576   0.04806   0.00573   0.07955        45       640    0.9706    0.9912    0.9775    0.7773   0.02008   0.03821  0.004322
    51/299     4.57G   0.02597   0.04501  0.005601   0.07657        45       640    0.9712    0.9872    0.9747    0.7754   0.02055   0.03775  0.004458
    52/299     4.57G   0.02595    0.0461  0.005551    0.0776        52       640    0.9767    0.9839    0.9823    0.7847   0.01942   0.03701  0.004213
    53/299     4.57G   0.02475   0.04743  0.005608   0.07778        51       640    0.9684    0.9908    0.9809    0.7761   0.01956   0.03707   0.00454
    54/299     4.57G   0.02476     0.044  0.005305   0.07407        34       640    0.9715     0.991    0.9749    0.7851   0.01928   0.03712  0.004097
    55/299     4.57G   0.02513   0.04552  0.005436   0.07609        45       640    0.9687    0.9919    0.9788    0.7755   0.02022   0.03678  0.004125
    56/299     4.57G   0.02528   0.04469  0.005045   0.07501        45       640    0.9703     0.994     0.976    0.7759   0.01985   0.03731  0.003996
    57/299     4.57G   0.02361   0.04467  0.005357   0.07364        63       640    0.9653    0.9844    0.9789    0.7843   0.01922   0.03686  0.004599
    58/299     4.57G   0.02447   0.04444  0.005105   0.07401        10       640    0.9704    0.9866    0.9794    0.7877   0.01937   0.03681  0.004034
    59/299     4.57G   0.02386   0.04706   0.00508   0.07601        39       640    0.9774    0.9933    0.9771    0.7556   0.02134   0.03874  0.003748
    60/299     4.57G   0.02592   0.04686  0.005182   0.07796        55       640    0.9729    0.9886     0.979    0.7382    0.0214   0.03808  0.004009
    61/299     4.57G   0.02425   0.04471  0.004928   0.07389        53       640     0.974     0.992     0.981    0.7766   0.01996   0.03718  0.003846
    62/299     4.57G   0.02368   0.04568  0.005079   0.07443        35       640    0.9748    0.9925    0.9791    0.7784    0.0195   0.03746  0.003947
    63/299     4.57G   0.02273    0.0446  0.004606   0.07194        33       640    0.9749    0.9924    0.9773    0.7817   0.01936    0.0369  0.003696
    64/299     4.57G   0.02397   0.04325  0.005065   0.07229        42       640    0.9722    0.9898    0.9794    0.7862   0.01915   0.03676  0.003956
    65/299     4.57G   0.02447   0.04516  0.005036   0.07466        48       640    0.9694    0.9914     0.979    0.7792   0.01883   0.03637  0.003844
    66/299     4.57G   0.02389   0.04448  0.005006   0.07338        60       640    0.9666    0.9884    0.9768    0.7864   0.01859   0.03647  0.003979
    67/299     4.57G   0.02365   0.04224  0.004777   0.07067        62       640    0.9695    0.9886    0.9763    0.7562   0.02087   0.03884  0.003967
    68/299     4.57G    0.0238     0.046  0.005096    0.0749        29       640     0.963    0.9899    0.9762    0.7669    0.0207    0.0371  0.004028
    69/299     4.57G   0.02301     0.043  0.004763   0.07077        60       640    0.9664     0.985    0.9787    0.7919   0.01915    0.0366  0.004076
    70/299     4.57G   0.02284   0.04109  0.005028   0.06896        70       640    0.9714    0.9883    0.9784    0.7823   0.01908   0.03646  0.003873
    71/299     4.57G    0.0217    0.0423  0.004568   0.06857        20       640    0.9705     0.986    0.9782    0.7729   0.01996   0.03736  0.003856
    72/299     4.57G   0.02247   0.04297  0.004552   0.06999        76       640    0.9685    0.9908    0.9771    0.7827   0.01919   0.03687  0.003734
    73/299     4.57G    0.0223   0.04301  0.004464   0.06978        57       640    0.9707    0.9823    0.9776    0.7724   0.02046    0.0377  0.004028
    74/299     4.57G    0.0243   0.04464  0.004278   0.07322        38       640    0.9725      0.98    0.9783    0.7818   0.01945   0.03686  0.004095
    75/299     4.57G   0.02198   0.04465  0.004528   0.07116        67       640    0.9718    0.9782    0.9732    0.7908   0.01853   0.03582  0.003958
    76/299     4.57G   0.02215   0.04272  0.004551   0.06942        49       640    0.9662    0.9853    0.9765      0.79   0.01854   0.03598    0.0039
    77/299     4.57G   0.02141   0.04356  0.004467   0.06943        39       640    0.9719    0.9866    0.9812    0.7779   0.01928   0.03667  0.003634
    78/299     4.57G   0.02202    0.0455   0.00424   0.07176        67       640    0.9729     0.982    0.9767     0.787   0.01884   0.03642  0.003645
    79/299     4.57G   0.02212    0.0435  0.004371      0.07        49       640     0.962    0.9881    0.9765    0.7913   0.01847   0.03605   0.00371
    80/299     4.57G   0.02294   0.04365  0.004275   0.07087        43       640    0.9742    0.9843    0.9778    0.7997   0.01825   0.03632  0.003637
    81/299     4.57G   0.02163   0.04383  0.004248   0.06971        44       640    0.9547    0.9922    0.9775    0.7709    0.0201   0.03717  0.003868
    82/299     4.57G   0.02363   0.04233  0.004277   0.07024        40       640    0.9688    0.9916    0.9778    0.7889   0.01822   0.03564  0.003739
    83/299     4.57G   0.02233   0.04253  0.004423   0.06928        72       640    0.9683    0.9867    0.9812     0.778    0.0196   0.03662  0.003751
    84/299     4.57G   0.02142   0.03986  0.004188   0.06547        47       640    0.9649    0.9802    0.9767    0.7744   0.01958   0.03679  0.003939
    85/299     4.57G   0.02264   0.04349  0.004212   0.07034        59       640    0.9598    0.9788    0.9749    0.7801   0.01956   0.03838  0.004172
    86/299     4.57G   0.02177    0.0441  0.004029   0.06989        34       640    0.9656    0.9857     0.977    0.7926     0.019   0.03667  0.003696
    87/299     4.57G    0.0217   0.04276  0.003993   0.06845        50       640    0.9566    0.9729    0.9763    0.7859   0.01887    0.0364  0.004272
    88/299     4.57G   0.02128   0.04201  0.004067   0.06736        66       640    0.9543    0.9787    0.9778    0.7955   0.01869   0.03593  0.004392
    89/299     4.57G   0.02217   0.04225  0.004227   0.06864        41       640    0.9597     0.994    0.9766    0.7884   0.01926   0.03711  0.003676
    90/299     4.57G   0.02134   0.04123  0.003962   0.06653        38       640    0.9698    0.9682    0.9746    0.7786   0.01933   0.03671  0.003937
    91/299     4.57G   0.02148   0.04395  0.004243   0.06967        37       640    0.9663    0.9706    0.9737    0.7909    0.0181   0.03569  0.004052
    92/299     4.57G   0.02101   0.04082  0.004111   0.06595        58       640    0.9703    0.9727    0.9783    0.7912   0.01846   0.03564  0.003783
    93/299     4.57G   0.02156   0.04044  0.003991     0.066        52       640    0.9636    0.9806    0.9767    0.7887   0.01835   0.03565  0.003817
    94/299     4.57G     0.021   0.04086  0.004067   0.06593        40       640    0.9627    0.9855    0.9757    0.7865   0.01897   0.03638  0.003766
    95/299     4.57G   0.02067   0.03984  0.003817   0.06433        12       640    0.9772    0.9696    0.9771    0.7829   0.01902   0.03768  0.003665
    96/299     4.57G    0.0207   0.04099  0.003945   0.06564        17       640    0.9633    0.9721    0.9748    0.7931   0.01858   0.03585  0.003885
    97/299     4.57G   0.02029   0.04189  0.003858   0.06603        55       640    0.9632    0.9705    0.9752    0.7899   0.01837   0.03621  0.003932
    98/299     4.57G   0.02166   0.04178  0.003738   0.06718        20       640     0.974    0.9628    0.9782    0.7938   0.01875   0.03761  0.003876
    99/299     4.57G    0.0213   0.04271  0.003821   0.06783        65       640    0.9648    0.9785    0.9792    0.8047   0.01776   0.03562  0.003749
   100/299     4.57G   0.02098   0.04123  0.003924   0.06614        59       640    0.9622    0.9724    0.9753    0.7872   0.01877   0.03673  0.003828
   101/299     4.57G   0.02035   0.04062  0.003585   0.06455        61       640     0.965    0.9781    0.9749    0.7866   0.01821   0.03604  0.003701
   102/299     4.57G   0.02027   0.04061  0.003785   0.06466        28       640    0.9645    0.9826      0.98    0.7968   0.01818   0.03623  0.003572
   103/299     4.57G     0.021    0.0404  0.003692   0.06509        25       640    0.9539    0.9797    0.9761    0.7885   0.01843   0.03577  0.004137
   104/299     4.57G   0.02132    0.0416  0.003625   0.06655        77       640    0.9561    0.9846    0.9765    0.7883   0.01875   0.03581  0.003818
   105/299     4.57G   0.02104    0.0388  0.003571   0.06341        87       640    0.9602    0.9846    0.9769    0.7882   0.01842   0.03626   0.00377
   106/299     4.57G   0.01997   0.04156  0.003551   0.06507        11       640    0.9766    0.9752    0.9787    0.8006   0.01785    0.0357  0.003432
   107/299     4.57G   0.01959   0.03903  0.003532   0.06215        22       640    0.9484      0.98    0.9799    0.7974   0.01793   0.03593  0.003969
   108/299     4.57G    0.0202   0.04131  0.003666   0.06518        61       640    0.9494     0.963    0.9726    0.7818   0.01849    0.0368  0.005074
   109/299     4.57G   0.01958   0.04246  0.003326   0.06536        91       640    0.9557    0.9828    0.9765    0.7928   0.01809    0.0356  0.003862
   110/299     4.57G   0.01998   0.04024  0.003369   0.06359        50       640    0.9626    0.9849    0.9765    0.7955   0.01801   0.03591  0.003754
   111/299     4.57G   0.01933   0.03899  0.003192   0.06152        51       640    0.9715    0.9721    0.9768    0.7889   0.01821    0.0363  0.003688
   112/299     4.57G   0.01987   0.04018  0.003553   0.06361        67       640    0.9495      0.98    0.9737     0.786   0.01825   0.03607  0.004295
   113/299     4.57G   0.02064   0.04047  0.003564   0.06468        41       640    0.9602    0.9782    0.9752    0.7957   0.01791   0.03526  0.003944
   114/299     4.57G   0.02092   0.04103  0.003604   0.06556        54       640    0.9522    0.9779    0.9752    0.7866   0.01827   0.03546  0.004004
   115/299     4.57G   0.01961   0.04267  0.003163   0.06544        81       640    0.9704    0.9792    0.9761    0.7828   0.01905    0.0362  0.003327
   116/299     4.57G    0.0206   0.04028  0.003494   0.06438        78       640    0.9505    0.9784    0.9753    0.7911   0.01837   0.03635  0.004157
   117/299     4.57G   0.02024   0.04008  0.003375    0.0637        46       640    0.9718    0.9667    0.9758    0.7901   0.01824   0.03608  0.003911
   118/299     4.57G   0.01918   0.03983  0.003237   0.06225        46       640      0.97    0.9669    0.9719    0.7918   0.01805   0.03668  0.004173
   119/299     4.57G    0.0188   0.03805  0.003332   0.06018         9       640    0.9643    0.9747    0.9749    0.7838    0.0185   0.03739  0.003886
   120/299     4.57G   0.02043   0.04144  0.003428    0.0653        74       640    0.9588     0.964    0.9731    0.7916   0.01808   0.03582  0.004591
   121/299     4.57G   0.01988   0.03893  0.003491    0.0623        64       640    0.9676    0.9642    0.9732    0.7972   0.01789   0.03617   0.00414
   122/299     4.57G   0.01906   0.04185  0.003255   0.06417       105       640     0.952    0.9755    0.9704     0.788   0.01787   0.03621  0.004231
   123/299     4.57G   0.01939    0.0381  0.003312    0.0608        59       640    0.9758     0.965    0.9725    0.7909   0.01827   0.03661   0.00392
   124/299     4.57G    0.0197    0.0385  0.003254   0.06145        81       640    0.9651    0.9778    0.9739    0.7839   0.01878   0.03703  0.003766
   125/299     4.57G   0.01981   0.04219  0.003263   0.06527        27       640    0.9674    0.9601    0.9721    0.7833   0.01888   0.03638  0.004395
   126/299     4.57G   0.01973   0.03994  0.003205   0.06287        18       640    0.9679    0.9575    0.9743    0.7848   0.01817   0.03639  0.004768
   127/299     4.57G   0.01923   0.04071  0.003191   0.06313        32       640    0.9496    0.9664    0.9692     0.786   0.01791   0.03593  0.005408
   128/299     4.57G   0.01955   0.03764  0.003052   0.06024        44       640      0.96     0.971    0.9727    0.7874   0.01799    0.0361  0.004191
   129/299     4.57G   0.01872   0.03828  0.003232   0.06023        48       640    0.9547    0.9769    0.9776    0.7933    0.0181   0.03589  0.003991
   130/299     4.57G   0.01881   0.03898  0.003245   0.06104        48       640    0.9562    0.9596    0.9715    0.7925   0.01783   0.03571  0.004996
   131/299     4.57G   0.01839   0.03972  0.003076   0.06118        54       640    0.9638    0.9699    0.9687    0.7943   0.01768   0.03629  0.003922
   132/299     4.57G   0.01905   0.03881  0.003193   0.06105        38       640    0.9639    0.9738    0.9718    0.7913   0.01788   0.03626  0.003917
   133/299     4.57G   0.01866   0.03668  0.003152    0.0585         7       640    0.9483    0.9744    0.9731    0.7898   0.01806   0.03656  0.004605
   134/299     4.57G   0.01855   0.04033  0.002944   0.06182        40       640    0.9616    0.9723    0.9765    0.7965   0.01799   0.03662  0.003769
   135/299     4.57G   0.01923    0.0392  0.002859   0.06129        29       640    0.9681     0.967    0.9693    0.7818   0.01819   0.03692  0.003942
   136/299     4.57G    0.0198   0.03899  0.002898   0.06169        61       640    0.9662    0.9726    0.9685    0.7859   0.01801   0.03675  0.004155
   137/299     4.57G    0.0179   0.03739  0.002896   0.05818        32       640    0.9727    0.9465    0.9703    0.7898   0.01769   0.03528  0.005208
   138/299     4.57G   0.01835   0.03691  0.003008   0.05827        17       640    0.9687    0.9756    0.9705    0.7876    0.0181   0.03672  0.003643
   139/299     4.57G   0.01919   0.03884  0.003175   0.06121        49       640    0.9681    0.9629    0.9704    0.7902   0.01771   0.03565  0.004133
   140/299     4.57G   0.01912   0.03696  0.002932   0.05901        23       640    0.9671    0.9635    0.9711    0.7902   0.01798   0.03695   0.00407
   141/299     4.57G   0.01788   0.03919   0.00313    0.0602        49       640     0.976    0.9696    0.9764    0.7988   0.01741     0.036  0.003369
   142/299     4.57G   0.01827   0.03839  0.002893   0.05955        95       640    0.9678    0.9778    0.9715    0.7897   0.01771     0.036  0.003579
   143/299     4.57G   0.01839   0.03819   0.00303   0.05961        54       640     0.962     0.975    0.9712     0.798    0.0176   0.03607  0.003854
   144/299     4.57G    0.0188    0.0385  0.003057   0.06036        54       640    0.9671    0.9643    0.9688    0.7916   0.01757   0.03675  0.003943
   145/299     4.57G   0.01842   0.03856  0.002992   0.05998        65       640    0.9741    0.9534    0.9766     0.798    0.0176   0.03543  0.004287
   146/299     4.57G   0.01779   0.03656   0.00285   0.05721        37       640    0.9682    0.9752    0.9745    0.7946   0.01753    0.0354  0.003502
   147/299     4.57G   0.01891   0.03932  0.003273   0.06151       104       640    0.9644    0.9633    0.9726    0.7913   0.01794   0.03588  0.004239
   148/299     4.57G   0.01889   0.03658  0.002928   0.05841        61       640    0.9668    0.9658    0.9735    0.7883   0.01803   0.03682  0.003653
   149/299     4.57G   0.01772   0.03785  0.003073   0.05865        63       640     0.963    0.9592     0.971    0.7906   0.01765   0.03676  0.004409
   150/299     4.57G   0.01768   0.03629  0.003073   0.05704        55       640     0.957    0.9611    0.9682    0.7817   0.01775   0.03645  0.004406
